id,name,slug,games_count
4,Action,action,191512
51,Indie,indie,86348
3,Adventure,adventure,151689
5,RPG,role-playing-games-rpg,61937
10,Strategy,strategy,62384
2,Shooter,shooter,59622
40,Casual,casual,67645
14,Simulation,simulation,76819
7,Puzzle,puzzle,97400
11,Arcade,arcade,22686
83,Platformer,platformer,100923
59,Massively Multiplayer,massively-multiplayer,4250
1,Racing,racing,25773
15,Sports,sports,22628
6,Fighting,fighting,11777
19,Family,family,5416
28,Board Games,board-games,8394
17,Card,card,4547
34,Educational,educational,15719
